,original,perturbed,harmfulness
0,"The article stated she has ""Mental"" problems...You thinks she would understand you?","The article mentioned that she has ""mental"" issues. Do you think she would be able to comprehend you?",1
1,Desolation .....move,"Desolation, keep moving.",1
2,"If he was getting mental health care at the Anchorage VA Clinic, then somebody at the VA should get fired. There are to many incompetents working there.",Someone at the Anchorage VA Clinic should be held accountable if he was receiving mental health care there. There are too many incompetent individuals employed at that facility.,1
3,"<<I've worked among blacks in the blighted urban core for many years.>>
More deflection.
<<My analogy stands:>>
No; it limps.  Your lame analogy is an attempt to deflect from one of fourteen examples of Trump's racism (counting the birther drivel).  Moreover, AnonAJ posted links to still more examples of Trump's defects of character and personality.
Speaking of lame: how do you feel about Trump mocking the handicapped?
Of course, Trump is a racist. He's a profoundly damaged human being whose defects of character, personality and judgement have been on display for the whole of his adult  life.  And he's the president-elect of the United States. Deplorable.","I have worked with individuals in the urban core for many years, including those of African American descent. However, your attempt to deflect from the examples of Trump's racism with analogies does not hold up. There are numerous instances of Trump displaying unacceptable behavior, including mocking the handicapped. It is clear that Trump is racist and has many other character flaws, yet he has still been elected as president. This is deplorable.",1
4,"Is it just me or is everyone getting sick of the term ""middle-class"" ?  After watching the accompanying video, my brain tried to claw its way out of my head.","Am I the only one tired of hearing the term ""middle-class""? The video made my brain feel like it was trying to escape from my head.",1
5,"And I have to wonder about that persons mental health Gary.    A very good friend was a psychiatric nurse in a Kansas City hospital.   It made her furious when they would take a person in crisis (say suicidal), but were forced to release them within 24-48 hours even if the entire staff would vouch for the long term mental illness.

Fear of institutions, partly by liberal ideology, has left millions of mentally unstable people on the streets of American cities nationwide.   Of course on the Republican side, one's mental illness is a personal problem not a social one.   It's not the Republican party's concern.  (anyone feel free to show me a Republican 'plan' for mental illness treatment)

Partisanship creates huge barriers to rational problem solving.","I can't help but question the mental well-being of that person, Gary. A close friend of mine worked as a psychiatric nurse in a hospital in Kansas City and it infuriated her when individuals in crisis, such as those contemplating suicide, were only held for 24-48 hours before being released, despite the staff confirming their long-term mental illnesses.

The fear of institutions, influenced in part by liberal ideology, has led to numerous mentally unstable individuals being left on the streets of cities across America. On the flip side, Republicans view mental illness as a personal issue rather than a societal one, and do not seem to prioritize addressing it. This partisan divide hinders rational problem-solving in this area. If anyone can provide me with a Republican plan for mental illness treatment, please do share.",1
6,"By the end of my drinking career, I could be in a bar full of people and feel completely alone. I blacked out so often during the seventeen years that I abused alcohol that it is a wonder that any brain cells were still intact. I stopped using alcohol back in 1988.Two years after I stopped drinking, the memories of the sexual abuse came back to me. I was in group therapy dealing with sexual issues that had [or at least I thought at the time] nothing to do with sexual abuse. There was a Catholic priest in the group. One thing we were asked to do was to refrain from any sexual activity for some ninety days. From what I understood at the time, it was a way therapists used to uncover things in their patients sexual past. I was at home, relaxing on the back patio when the memories came back. I felt like that twelve year old altar boy, standing outside the Church in a total state of shock. The following week at the , I talked about the abuse. The following week, the priest left group","At the end of my drinking days, I often felt isolated in crowded bars due to frequent blackouts from alcohol abuse over seventeen years. I quit drinking in 1988 and two years later memories of sexual abuse resurfaced during group therapy. Despite initially believing my sexual issues were unrelated to abuse, memories flooded back while following therapist instructions to abstain from sexual activity for ninety days. This revelation left me feeling shocked and vulnerable, reminiscent of my twelve-year-old self as an altar boy. The following week, I bravely shared my story in therapy, prompting the departure of the Catholic priest from the group.",1
7,Yet more validation that Trump is a violent psychotic.,More evidence confirming that Trump is a violent psychotic.,1
8,Good gawd so what. They are shooting everybody and you are worried about offending them. What mental illness is that anyway,"Wow, who cares? They're shooting everyone and you're worried about offending them. What kind of mental illness is that?",1
9,"No. No. No.  Due process cannot be privatized or outsourced.

These facilities house and treat people who have lost certain rights for a time. 

When such actions happen it is the state's duty and responsibility to take care of them and to guarantee their due process.

The private interests' duty and responsibility is focused on their bottom line. A person's due process is left out of the equation and is ripe for manipulations. 

There are hundreds of thousands of reasons why the US DOJ decided to end the use of private run prisons. 

Alaskans who experience serious mental health illnesses and crises need more safe and more effective opportunities, not less safe and less effective places to go. 

API is directly accountable to its patients, other Alaskans, numerous public and elected officials, and the court system to deliver health and treatment services.

A privately owned facility is only accountable to its owners and shareholders to deliver those services at the highest profit.","Absolutely not. Due process should not be privatized or outsourced. 

These facilities are responsible for housing and treating individuals who have temporarily lost certain rights. It is the state's obligation to ensure their due process is protected. 

Private interests are primarily focused on profit, leaving little regard for an individual's rights. This opens the door for manipulation. 

The decision by the US Department of Justice to end the use of privately run prisons speaks volumes. 

Alaskans in need of mental health support require safe and effective options, not facilities driven by profit. 

API is answerable to patients, the community, officials, and the legal system for providing quality treatment. 

Privately owned facilities prioritize profit over the well-being of individuals.",1
10,"Wow-that is really horrible. Mentally ill or not, no excuse, horrible regardess... Horrible.","Wow, that is truly terrible. Whether or not someone is mentally ill, there is no excuse for such behavior. It is just awful.",1
11,Please tell me where the proofs are for any metaphysics engaged in by the Church?  You know actual physical proof we can measure and have it be repeatable.,"Can you provide empirical evidence for any metaphysical concepts endorsed by the Church? I'm looking for tangible, measurable proof that can be replicated.",1
12,"Are any of the school districts in Eugene-Springfield yet requiring seat belts in school buses? 

 Last time I checked, no one cared about the children in school buses; just in private automobiles.  We didn't care if they were injured or killed without a seatbelt if the schools had to use their money for teachers and administrators to put seatbelts in school buses.",Have any of the school districts in Eugene-Springfield implemented a requirement for seat belts on school buses yet? It seems that there has been a lack of concern for the safety of children on buses compared to private vehicles. It is concerning that the priority has been on saving money for teachers and administrators rather than ensuring the safety of students.,1
13,"""Travelers"" or ""homeless"",  are alcoholics, drug addicts and or mentally ill. 
Once the truth is finally universally accepted, then real ways to deal with the problem can be addressed.","Whether they are ""travelers"" or ""homeless"", many individuals struggle with alcoholism, drug addiction, or mental illness. When society acknowledges this reality, we can begin to implement effective solutions to address these issues.",1
14,"If the city starts to allow tents of homeless people in the parks then we are going to have the same problems as Seattle. Garbage, aggressive panhandling, people with mental problems. I row on the Sammamish River and there are always a few tents along the riverbank. There is also a lot of trash being thrown into the river. You know they are using the river as a bathroom too. If you want to make a big tent city on a soccer field or some appropriate piece of land fine but don't allow our city to become as ugly as Seattle and then use taxpayer money to clean up the mess.","If the city permits homeless tent encampments in parks, we risk encountering the same issues seen in Seattle - such as garbage, aggressive panhandling, and individuals with mental health challenges. As someone who frequents the Sammamish River for rowing, I have noticed tents set up along the riverbank with significant amounts of litter strewn about. It is evident that the river is being used as a restroom as well. If a designated area for a tent city is established, that would be acceptable, but we must avoid allowing our city to deteriorate like Seattle and burden taxpayers with the cost of cleanup.",1
15,"I can appreciate a bleeding heart. But.....being homeless is a choice in almost all cases. They chose to allow their additions to run their lives, they chose not to want to work however menial the job. They choose to live in the woods or on our sidewalks rather than facing their addictions or other issues. They are their today because of the totality of their life choices. I think the homeless have the ""resources they need"", they choose not to utilize them. I do applaud the mayor for trying to make a difference here. But I guess my point is that throwing money and resources at this group is almost pointless.....no ROI here. The exception to my comments are those with real mental disabilities.","I can understand having empathy for those in difficult situations, but I believe that in most cases, homelessness is a choice. Many individuals struggling with addictions or other issues choose not to seek help or work towards stable living conditions. I think that the homeless population has access to resources but may not always utilize them effectively. While I appreciate efforts to address homelessness, I question the effectiveness of simply providing money and resources without a clear return on investment. I do acknowledge that those with severe mental disabilities may require extra support and should be considered separately in this discussion.",1
