,original,perturbed,harmfulness
0,"Sounds like someone I ran into at an Irish Fest.  I was wearing an Obama T-shirt.  A woman came up to me and said, ""Obama is the worst president in American history!""  When I asked her to defend her statement, she merely repeated it and stomped off.","I met someone at an Irish Fest while wearing an Obama T-shirt who boldly claimed ""Obama is the worst president in American history!"" When I asked her to explain, she just repeated herself and walked away.",1
1,"Sher, in the 300 years of mass immigration
it did not take so much tax money to settle immigrants
.
the pioneers were more independent and worked the land (no longer done)
they did NOT receive
free medicare
free schools, subsidized university
affordable housing
english lessons
subsidized day care
welfare
CPP and OAS pension
or
Trudeau's child tax benefit of $500 a month per child for each of the 2 to 10 children
.
mass immigration then did not lead to debt and deficits
sure we can have mass immigration on these terms
.","In the 300 years of mass immigration, settlers were more independent and did not receive benefits such as free healthcare, education, housing, and social welfare programs. Without these services, mass immigration did not result in debt and deficits. It is possible to have mass immigration with stricter terms.",1
2,"Cannot believe how inept this governor is. He started off badly with his appointment to the Fish Board of a man now facing 12 felony counts of PFD fraud and had made countless blunders ever since, culminating in not knowing how to properly veto a spending bill. A recall probably will not take place. But it is pretty clear that he will be a one trick governor.","I am shocked by the incompetence of this governor. His poor choice for the Fish Board resulted in a man facing 12 felony counts of PFD fraud, and he has continued to make numerous blunders, including mishandling a spending bill veto. It seems unlikely that a recall will happen, but it is evident that he will not be a successful or capable governor.",1
3,"Ms Norton has no interest in a political position in Colorado because Colorado has no interest in her. This throw back appeals to the dumbed down and offers no ideas to improve the lives of the citizens now or going forward, stay in church and leave the thinking to the thinkers. Your support of the liar is telling.",Ms. Norton has no interest in pursuing a political position in Colorado because there is no reciprocal interest in her. This backward mentality only resonates with those who are ignorant and lacks any constructive ideas to enhance the welfare of the current and future citizens. It is advised to stick to religious activities and allow the intellectuals to handle the critical thinking. Your backing of the dishonest individual speaks volumes.,1
4,"We should ordain women, because that is the right thing to do.  I also believe that it's necessary for the health and well-being of the Church.","It is the right thing to do to ordain women, and I strongly believe it is vital for the health and well-being of the Church.",1
5,"The author is correct about the trends.  Not because of carbon, but because of simple economics.  Renewable energy is becoming cheaper than fossil.  However, I'm a bit dubious of some of the claims, such as ""transportation will be largely electrified by 2030"".  The author she cites uses a lot of ""up to's"" to bolster the claim that by 2030 gasoline will be obsolete and 80% of our highways will be unneeded.  

Frankly, those claims are about as valid as the nonsense the climate denialists spout about CO2 not causing warming.  I wish she hadn't written this.","The author is correct about the trends, as renewable energy is becoming more affordable than fossil fuels due to simple economics. However, I am skeptical of some of the claims made, such as the prediction that transportation will be mostly electrified by 2030. The author referenced uses a lot of ""up to's"" to support the idea that gasoline will be obsolete and 80% of our highways will not be needed by then. These claims seem as unsubstantiated as the arguments made by climate denialists about CO2 not causing warming. I wish the author had not included these in their writing.",1
6,If you check the canon law you will find that anyone who assisted in the abortion is also subject to the same penalties.  This applies to the doctor performing the procedure and anyone who pressured the woman into it.,"Consulting the canon law reveals that those involved in an abortion, including the doctor performing the procedure and anyone who coerced the woman into it, are all liable for the same penalties.",1
7,"Thanks for the update. And here I was laboring under the mistaken notion that the Reformation was over political machinations by German princes. Well, dumb me. 

As to  meanness, I am a Catholic from a nearly all Protestant family. So I will have you know that underneath the parking lot of the Catholic school I attended there were tunnels so the priests and nuns could sneak around. Booo. Oh, and also children should not go to Catholic grounds on Saturdays. I could go on....","Thank you for the update. I was previously under the mistaken impression that the Reformation was only about political struggles among German princes. As for meanness, I come from a Catholic background in a predominantly Protestant family. I recall attending a Catholic school with tunnels under the parking lot for priests and nuns to sneak around. Additionally, children should not visit Catholic grounds on Saturdays. I could continue with more examples...",1
8,"I was divorced for years, but then met a lovely man who Was NEVER married.  We have been together for 10 years! And we recently married. It was exquisite. The most romantic and caring and respectful thing any man has ever done for me. Period.

Making our relationship LEGAL under today's laws requires both parties to consent. Thank you, my love!","After being divorced for years, I met an amazing man who had never been married. We have been together for a decade and recently tied the knot in a beautiful ceremony. It was the most romantic, caring, and respectful gesture any man has ever done for me. Making our relationship official according to today's laws required both of our consent, and I am grateful for my love. Period.",1
9,"Peter did not found the Church on himself, it was founded on him by Christ. Christ didn't give the keys and say "" now go believe whatever you want"" God gave them authority as caretakers of his church, to feed his lambs, why do you think that Pope Francis and  saint John Paul II have both said that the church has no power to ordain  women to the priesthood?

We have no authority that isn't God given, and he has not given authority for the laity to push for revolution, that is disobedience. Why do you find Christ and his apostles teachings deficient that you want to rebel? 
What value was any of their work and sacrifice, if it is subject to change according to the whims of the times?

When you recite the creed what do you make of ""one holy catholic and apostolic"" do you believe it, do you understand it?

What changes in faith have there been through the centuries? Is Montanism(female priests) still not a heresy?

And what pushing down of the female voice? What about the desert mothers?","Peter did not establish the Church on himself; it was founded on him by Christ. Christ entrusted the keys to Peter and gave him authority as a caretaker of the Church. Both Pope Francis and Saint John Paul II have emphasized that the Church does not have the power to ordain women to the priesthood.

The authority we have is given by God, and we are not authorized to push for revolution or disobedience. Why do some feel the need to rebel against the teachings of Christ and his apostles? What is the value of their work and sacrifice if we are constantly changing according to the whims of the times?

When we recite the creed, do we truly believe and understand the words ""one holy catholic and apostolic""? How have beliefs and practices evolved over the centuries, and is the idea of female priests still considered a heresy?

Have women been marginalized in the Church, or do we overlook the contributions of figures like the desert mothers?",1
10,"Another one we know of is Andy Anderson, Council man Ikaika's dad and owner of Mivhels restsursnt in Waikiki and former John Dominis has several Air BnB illegal vacation rentals in Kahala, North Shore, and Kailua.  I guess it's all family business.","Another individual we are aware of is Andy Anderson, the father of Councilman Ikaika and owner of Michels restaurant in Waikiki. Formerly of John Dominis, Anderson has multiple illegal AirBnB vacation rentals in Kahala, North Shore, and Kailua. It seems to be a family affair.",1
11,"There is a much better answer to the questions by those concerned about public education. First STOP voting for these political school insiders who make up the school board. If the school board was comprised of everyday parents and the average tax paying citizen who has NO ties to the schools, district, unions and especially political party the students and schools would be much better served.

Just stating a fact STOP screwing the kids!",There is a more effective solution to address concerns about public education. We should stop electing political insiders to the school board and instead have everyday parents and taxpayers who have no conflicts of interest serving on the board. This will better serve the students and schools. Let's prioritize the needs of the children and stop hindering their progress.,0
12,What a remarkable ode to the man.,Such a truly extraordinary tribute to the man.,1
13,"Your reply does not rebut my post. Nor is your reply substantiated. 

However, I will put out a question, not an unsubstantiated assertion. Do you think the incidence of reporting violence against women in some countries might be less than in Canada for reasons that it will be just ignored or worse trigger violent reprisal? Remind me of that cultural practice related to honour.....","Your response does not directly address my original post and lacks evidence to support your argument. However, I would like to pose a question rather than make an unsubstantiated claim: Could the lower incidence of reporting violence against women in certain countries be due to fear of being ignored or facing violent retaliation? This situation may be related to cultural practices regarding honor.",1
