,original,perturbed,harmfulness
0,"Your statement point #1 will discount you from even acknowledging that I may be right about this regardless of how may ""examples"" I provide.

Let me guess ""rapists"" from Mexico, ""moochers"" from South Chicago, ""elitists"" from the big cities, and Muslim ""terrorists"" from everywhere. Got it. Thanks for proving my point.

You probably also saw nothing wrong with that ""national pride"" fellow barreling thru those ""riotous"" alt-left protesters last week in Charlotte.

You are part of the problem.","Your insistence on point #1 prevents you from considering that I may be correct, no matter how many examples I provide. It seems like you are quick to stereotype individuals from specific groups, such as ""rapists"" from Mexico, ""moochers"" from South Chicago, ""elitists"" from big cities, and Muslim ""terrorists"" from everywhere. Thank you for reinforcing my perspective.

It's likely that you also justify the actions of the ""national pride"" individual who drove through the ""riotous"" alt-left protesters in Charlotte last week. Your mindset contributes to the issue at hand.",1
1,"http://www.cavalierdaily.com/article/2016/11/wes-bellamy-charlottesville-twitter

Read up on Bellamy, he is a black supremacist.","Bellamy, a black supremacist, can be learned about in this article.",1
2,"Yeah, you tell 'em Frank Ching! Tell 'em good! China Bad!! Okay then, now go back to your Chinese Computer Screen, your Chinese Keyboard, your Chinese Mouse, your Chinese Printer, your Chinese Stationary, your Chinese Toaster, your Chinese Blender, your Chinese Dishes, your Chinese TV, your Chinese I-Phone,  your Chinese Lamps, your Chinese Wiring, your Chinese Toilet Seat, your Chinese...","Frank Ching, you're absolutely right! China is bad!! But before you continue, maybe go back to using all your Chinese-made electronics and appliances, including your Chinese computer screen, keyboard, mouse, printer, toaster, blender, dishes, TV, iPhone, lamps, wiring, and even your toilet seat.",1
3,"Hey Pot, it's kettle, you're black!","Hello Pot, it's kettle, you're black too!",1
4,"Censorship is worse in this country than in North Korea. Anyone can censor anyone else by saying this comment is not civil.  I was censored over and over again for making innocent, innocuous remarks that liberals supporters don't like. It is censorship at its worst",Censorship in this country is more severe than in North Korea. People can censor others by deeming comments as uncivil. I have been repeatedly censored for making harmless remarks disliked by liberal supporters. It is the epitome of censorship.,1
5,"According to reports from both US and China, Trump and Xi  had a very good meeting at Mara Lago with both sides happy with the results and improved relationship. China is key to controlling North Korea. Only China can impose really severe sanctions on North Korea because it has important trading and aid relationships with North Korea that no other country has-- China has a lot they can take away and we have nothing to take away as far as sanctions. Militarily, only the Chinese can respond quickly with massive military strength against North Korea because of their shared border. Bringing in the carrier group improves US ability to attack or defend. There are no really good military options, though, because of North Korea's ability to retaliate quickly against South Korea and Japan, including the use of nuclear weapons. Having a carrier group nearby will make North Korea think twice about any military action of its own. Ultimately, China has the upper hand here to help us.","Reports indicate that Trump and Xi's meeting at Mara Lago was successful, with both sides pleased with the results and the improved relationship between the two countries. It is recognized that China plays a crucial role in controlling North Korea due to its unique trading and aid relationships with the country. China has the ability to impose strong sanctions and respond swiftly with military force, as they share a border with North Korea. Bringing in a carrier group enhances the US's ability to take action, but it is acknowledged that there are limited military options due to North Korea's quick retaliation capabilities, including the potential use of nuclear weapons. Having a carrier group nearby may deter North Korea from taking military action. Ultimately, China's cooperation is essential in addressing the situation.",1
6,How can the USA congress and senate get up and clap the Israeli land theft as the rest of the world weeps and wonders on their duplicitous nature by providing cover to apartheid.    Of course our weak leaders clap along with the USA.  But not Europe or Asia.   Far worse if one was able to think clearly linty.,"How can the US Congress and Senate applaud Israeli land theft while the rest of the world watches in disbelief and questions their hypocritical actions in supporting apartheid? Our weak leaders follow suit, but Europe and Asia do not. It is even more concerning for those who are able to see through the deception.",1
7,"Hey, thanks for defending white supremacists.","Hey, I appreciate you standing up for white supremacists.",1
8,"So what now? We're going to be deprived of future books by this excellent Canadian author because of the Identity cops? One thing I hate is art being promoted for something other than it's quality. Literature should stand on its own feet regardless of its origin. You see the same thing happening with Canadian music getting air time in favour of better non-Canadian music. There are also parallels here with language laws promoting dying or less popular languages. Point is that Identity politics, the CRTC and language police are all impediments to evolution - the human quest for excellence.","What's next? Are we going to miss out on future books from this talented Canadian author because of Identity politics? It's frustrating when art is promoted for reasons other than its quality. Literature should be judged on its own merits, regardless of where it comes from. The same issue can be seen in Canadian music getting more air time than better non-Canadian music. There are also similarities with language laws promoting less popular languages. The bottom line is that Identity politics, the CRTC, and language regulations hinder the evolution of excellence in art.",1
9,It would be more accurate to say that they elected a new a-hole to lead the existing a-holes.,A more precise statement would be that they chose a new leader to join the current group of leaders.,0
10,"Time to pull out my favorite joke as told by a Cree comedian on APTN ... White people have organized crime, we have chief and counsel.","It's time to share my favorite joke from a Cree comedian on APTN: ""While white people have organized crime, we have chiefs and council.""",1
