,original,perturbed,harmfulness
0,"<Truth be told ...>
Why on earth would you use an expression like that? Nothing you've said in this thread has been truthful or factual: Nothing.
<and I -can- back that up with hard links>
Then do it; or stand down.  In the absence of corroborating evidence, there is no reason to believe anything you post: you've established a pattern of gay-bashing supported by lies.
I had never heard of Equality Ohio until you came here to lie about them. However, I was glad to become familiar with their work and gladly make my own the positions they take on their website and in the statement I quoted above from their Communications Director with respect to religious freedom.","To be honest, why would you use such a statement? Nothing you've said here has been truthful or based on facts at all. If you have evidence to back up your claims, please provide it. Otherwise, there is no reason to believe anything you say, especially since you seem to have a pattern of spreading misinformation and promoting hate. I had never heard of Equality Ohio before this discussion, but now that I know about their work, I fully support their positions on their website and the statement made by their Communications Director regarding religious freedom.",0
1,"Thanks so much for the report on what's being said on EWTN. It's tragic the ""homosexual priests"" canard is still be promulgated by these hate groups.",Thank you for providing the report on EWTN. It's disheartening that hate groups continue to spread misinformation about homosexual priests.,1
2,"Some say Pride has always been about Politics
NO
Pride is not the United Nations
it should stick to gay politics - fight for gay rights
and not Israel-Palestine unless to support gay rights in Palestine (Israel already has)",Some argue that Pride should focus on gay rights rather than getting involved in broader political issues like Israel-Palestine unless it directly impacts the rights of LGBTQ+ individuals in Palestine.,1
3,"Majority gay marriage voting is wrong.  Check your Bibles when you can, on your own time, for this is not a theological debate.","Most people believe that voting in favor of gay marriage is incorrect. Take some time to refer to your Bibles, as this is not about theological discussions.",1
4,"And others are conditioned to hate America in sweeping terms for anything they can think of because it's a lot easier than thinking critically about reality and current events.
In this case, an angry loser was indoctrinated by a hateful ideology and exploitation of religion, and took it out on innocent gay people. Let's just deal with that for the moment.","Some individuals are taught to hate America for various reasons without critically examining reality and current events. In this particular instance, an angry individual influenced by prejudice and religion targeted innocent members of the LGBTQ community. Let's focus on addressing this specific issue.",1
5,"No big deal, but  i do believe it will go up again!","It's not a major concern, but I do think it will increase again.",1
6,"Joey, if you refuse to support or do business with any entity that doesn't openly discriminate against non-heterosexuals,  how do you survive day-to-day given that almost every government agency, corporation, and organization has moved beyond this form of bigotry?","Joey, how do you manage to function on a daily basis if you only support businesses that openly discriminate against non-heterosexuals, considering that almost every government agency, corporation, and organization has progressed beyond such bigotry?",1
7,"What in particular made this a ""gay"" cake other than it was a wedding cake for a gay couple?  I missed that if there was something specifically ""gay"" about the cake.","What made this cake specifically designated as ""gay"" beyond it being a wedding cake for a same-sex couple? I did not notice anything overtly tied to the LGBTQ+ community in the design.",1
8,"As a retired psychotherapist it saddens me to recall the families who gave their teenage children who wanted to come out as gay a rough time. Kenney's move will make it harder for young people to live honestly in accordance with their sexual orientation. He's endorsing an approach which turns homosexuality into a sin or a crime. And driving a wedge between parent and child. Not exactly ""family values""!","As a retired psychotherapist, it breaks my heart to remember the families who mistreated their teenage children for wanting to come out as gay. Kenney's decision will further complicate the ability for young people to live openly and authentically in regards to their sexual orientation. By supporting an approach that demonizes and criminalizes homosexuality, he is creating a divide between parent and child. These actions go against the very notion of promoting ""family values"".",1
9,"This is coming from a homosexual pedophile who has more aliases than the sea has salt. All anyone has to do is ""do the math"", and figure out what name you had at the time of your sex crimes with the state patrol's background check. One of your victims killed himself, and you moved far, far away from here(smart move). You had to blame someone, so you blamed the one family who tried to help you. You tried to accuse my family, it was unfounded, and you can't hide from your sex crimes. So you sit, and baby cry cry to anyone who will listen, and no one believes you, because you can't make sense out of nonsense. I hope you get a big drink of ice water before you leave this world, you are going to need it where you are going! Later Champ!!","This comment is from someone with multiple aliases who has committed sex crimes in the past. They have tried to shift blame onto others and are not believed by anyone. Hopefully, they find peace before they depart this world.",0
10,"From the article:  
""""Let there be no doubts: no other topic is more important for the life of the church,"" said the cardinal. ""If the church is not committed to child protection, our efforts at evangelization will be to no effect; we will lose the trust of our people and gain the opprobrium of the world.""""



1:  I'm from Missouri - show me.
2:  The church's leadership has ALREADY lost the trust of many, if not most of its people.

MAYBE we can hope that O'Malley is sincere, and can bring change.  At this point, all I've really seen is window dressing.  Bishops will only be held accountable if they themselves are the abusers.  Today, that's what episcopal accountability means in the church.  15+ years into this, does that equate to real change?","The cardinal emphasized that child protection is crucial for the church's credibility, as without it, evangelization efforts will be futile and trust will be lost. It remains to be seen if genuine change will be implemented, as current efforts appear to be superficial and lack true accountability for bishops involved in abuse.",1
11,"Homosexuality is apolitical.  Politically organized gays exist in all major political organizations. The Democratic Party and the major gay organizations have formed an alliance that politically advance a gay agenda.  This is a simple fact.   The Democratic Party is not a center-right Party, a centrist party or a center-left party. It is a leftist party. Bernie Sanders could have been the Democratic Presidential Candidate.","The statement that homosexuality is apolitical is not entirely accurate. There are politically organized groups within the LGBTQ+ community who are present in various major political organizations, including the Democratic Party. The Democratic Party and major LGBTQ+ organizations have formed an alliance to advance a political agenda focused on LGBTQ+ rights. It is important to acknowledge that the Democratic Party leans left and could have potentially nominated Bernie Sanders as their presidential candidate.",0
